"","GSM1423267","GSM1423268","GSM1423269","GSM1423270","GSM1423271","GSM1423272","GSM1423273","GSM1423274","GSM1423275","GSM1423276","GSM1423277","GSM1423278","GSM1423279","GSM1423280","GSM1423281","GSM1423283","GSM1423285","GSM1423287","GSM1423289","GSM1423291","GSM1423293","GSM1423295","GSM1423297","GSM1423299","GSM1423301","GSM1423303","GSM1423305","GSM1423307","GSM1423311","GSM1423316"
"11732519_at",3.962464819,5.041075447,4.635081706,6.13298287,9.035325184,4.722584666,5.230514232,5.91392182,4.749393145,5.241584877,7.932314082,4.87712165,7.761416013,9.072418739,9.389940295,8.767307169,10.16498954,3.655112174,10.441858,9.936413619,8.454986182,9.804657784,8.005165386,9.681060082,7.103072224,9.323904153,9.132528076,6.035624363,10.63561976,9.399609479
"11719344_a_at",5.087688354,5.797562686,5.775685047,8.695357353,12.04631869,6.347686552,5.507115627,8.29100781,5.761111021,5.966131536,9.856075858,5.687557759,9.822596159,10.26021136,11.57906346,12.09187136,11.03006449,5.972683728,10.50965469,9.388487941,8.706052099,10.28980314,8.663524511,10.02090504,8.790077552,9.456317174,8.82377515,8.226497325,10.66187458,9.890813907
"11730923_x_at",6.743807056,7.145234585,7.265361234,8.130119291,9.772851866,7.13273833,7.161102023,7.532963039,8.406719464,7.159231856,9.427835243,6.842784877,7.088291496,9.521350571,11.34176353,9.850936986,12.05478254,7.001121351,13.04337279,11.48686181,9.785538643,12.32678011,10.16625417,9.460673964,7.530666383,12.21805694,11.25543346,8.481799114,13.05256785,12.09371162
"11717860_a_at",8.085440538,8.863266207,7.672955168,12.39107537,13.95082254,8.3723759,8.185636696,11.76281257,8.311179336,8.840162809,12.82594792,7.803854856,12.54348692,13.34857955,13.8812118,14.05987001,13.41730953,7.957938828,13.1072291,12.85597674,12.00776871,12.97808641,12.45220307,12.82843495,13.34072438,12.87071054,11.63492882,11.75437618,12.51965045,12.74427512
"11718841_s_at",4.363094783,4.106414164,4.623868332,4.585109936,7.518117722,3.875840143,4.861073689,4.475093805,3.963011374,4.693325996,6.968841992,4.067926202,6.439080323,8.484843563,8.99352118,7.034906143,12.03149688,4.555084297,12.07329304,8.740959658,5.779879447,8.311356716,5.851644947,5.961903843,7.120531349,10.27912429,5.102985184,4.916985603,11.52809126,8.6666638
"11724799_x_at",8.036032714,5.376235419,8.478561215,9.45072092,9.981176796,8.804400188,10.10313045,9.329498125,8.350306452,5.012915545,10.15555433,5.26402444,10.49294762,9.260197899,8.581525688,9.913146436,9.388433354,5.545189549,8.586921691,5.448426747,5.775754368,9.595034598,9.053344321,8.323668347,10.98376244,5.756195132,5.461985645,9.466961038,10.51111762,5.384128068
"11730089_at",6.384156388,7.773084194,5.004943372,8.667554065,10.5542993,6.858502077,6.78941432,8.447750947,6.991349659,6.680015685,5.309588442,6.496303814,9.16904946,8.759498596,10.8371699,10.52984698,12.29406303,6.438558106,12.1445806,10.42826538,8.848775536,11.66430976,9.910236593,10.69939061,7.270756794,11.0266659,10.90395489,8.33950162,10.47452178,10.92008795
"11754138_s_at",8.040272332,4.061925204,7.840191523,4.955934093,9.025364646,8.938195438,8.867151566,4.066382138,4.589021176,8.667476943,4.061925204,4.232184724,7.811312852,4.72045629,8.830747861,8.454785292,4.009812275,4.142703802,3.941390611,4.168673384,7.457144269,3.995201873,7.241733784,4.066006531,7.738782689,3.729412247,4.040758079,4.086676533,7.361644466,4.055778616
"11744128_x_at",4.709296972,5.704574094,5.332322646,7.620645027,10.61545893,5.846226688,7.128412115,8.486305395,5.885361472,6.284254334,9.410517004,5.817511078,9.298234358,9.922229996,11.09988142,10.53286912,12.01174431,5.546238493,11.19620074,10.0922371,9.591399809,10.59097785,8.35497776,9.409534088,9.037963544,10.20711498,7.891930382,8.659226038,11.11214094,10.06928243
"11749905_a_at",5.781611972,6.163950244,5.820118812,8.577594316,11.72028993,7.279492446,6.024738322,8.640519785,6.487006803,7.039962951,10.53918832,7.152433064,9.483676474,10.19206508,10.8139886,11.79538504,11.40010195,7.272414029,10.35624193,10.8176508,9.00467847,10.90034248,9.831318105,9.842220336,10.92969305,10.71906037,8.319640477,9.324835116,10.60799569,9.839438503
